is_laki,month,minus_3_sd,minus_2_sd,minus_1_sd,median,plus_1_sd,plus_2_sd,plus_3_sd
1,0,2.1,2.5,2.9,3.3,3.9,4.4,5.0
1,1,2.9,3.4,3.9,4.5,5.1,5.8,6.5
1,2,3.8,4.3,4.9,5.6,6.3,7.1,7.9
1,3,4.4,5.0,5.7,6.4,7.2,8.0,8.9
1,4,4.9,5.6,6.2,7.0,7.8,8.7,9.7
1,5,5.3,6.0,6.7,7.5,8.4,9.3,10.3
1,6,5.7,6.4,7.1,7.9,8.8,9.8,10.9
1,7,5.9,6.7,7.4,8.3,9.2,10.3,11.3
1,8,6.2,6.9,7.7,8.6,9.6,10.7,11.8
1,9,6.4,7.1,8.0,8.9,9.9,11.0,12.2
1,10,6.6,7.4,8.2,9.2,10.2,11.4,12.5
1,11,6.8,7.6,8.4,9.4,10.5,11.7,12.9
1,12,6.9,7.7,8.6,9.6,10.8,12.0,13.2
1,13,7.1,7.9,8.8,9.9,11.0,12.3,13.5
1,14,7.2,8.1,9.0,10.1,11.3,12.6,13.9
1,15,7.4,8.3,9.2,10.3,11.5,12.8,14.2
1,16,7.5,8.4,9.4,10.5,11.7,13.1,14.5
1,17,7.7,8.6,9.6,10.7,12.0,13.4,14.8
1,18,7.8,8.8,9.8,10.9,12.2,13.7,15.1
1,19,8.0,8.9,10.0,11.1,12.5,13.9,15.4
1,20,8.1,9.1,10.1,11.3,12.7,14.2,15.7
1,21,8.2,9.2,10.3,11.5,12.9,14.5,16.0
1,22,8.4,9.4,10.5,11.8,13.2,14.7,16.3
1,23,8.5,9.5,10.7,12.0,13.4,15.0,16.6
1,24,8.6,9.7,10.8,12.2,13.6,15.3,16.9
1,25,8.8,9.8,11.0,12.4,13.9,15.5,17.2
1,26,8.9,10.0,11.2,12.5,14.1,15.8,17.5
1,27,9.0,10.1,11.3,12.7,14.3,16.1,17.8
1,28,9.1,10.2,11.5,12.9,14.5,16.3,18.1
1,29,9.2,10.4,11.7,13.1,14.8,16.6,18.4
1,30,9.4,10.5,11.8,13.3,15.0,16.9,18.7
1,31,9.5,10.7,12.0,13.5,15.2,17.1,19.0
1,32,9.6,10.8,12.1,13.7,15.4,17.4,19.3
1,33,9.7,10.9,12.3,13.8,15.6,17.6,19.6
1,34,9.8,11.0,12.4,14.0,15.8,17.8,19.9
1,35,9.9,11.2,12.6,14.2,16.0,18.1,20.1
1,36,10.0,11.3,12.7,14.3,16.2,18.3,20.4
1,37,10.1,11.4,12.9,14.5,16.4,18.6,20.7
1,38,10.2,11.5,13.0,14.7,16.6,18.8,21.0
1,39,10.3,11.6,13.1,14.8,16.8,19.0,21.2
1,40,10.4,11.8,13.3,15.0,17.0,19.3,21.5
1,41,10.5,11.9,13.4,15.2,17.2,19.5,21.8
1,42,10.6,12.0,13.6,15.3,17.4,19.7,22.1
1,43,10.7,12.1,13.7,15.5,17.6,20.0,22.3
1,44,10.8,12.2,13.8,15.7,17.8,20.2,22.6
1,45,10.9,12.4,14.0,15.8,18.0,20.5,22.9
1,46,11.0,12.5,14.1,16.0,18.2,20.7,23.2
1,47,11.1,12.6,14.3,16.2,18.4,20.9,23.5
1,48,11.2,12.7,14.4,16.3,18.6,21.2,23.8
1,49,11.3,12.8,14.5,16.5,18.8,21.4,24.1
1,50,11.4,12.9,14.7,16.7,19.0,21.7,24.4
1,51,11.5,13.1,14.8,16.8,19.2,21.9,24.6
1,52,11.6,13.2,15.0,17.0,19.4,22.2,24.9
1,53,11.7,13.3,15.1,17.2,19.6,22.4,25.2
1,54,11.8,13.4,15.2,17.3,19.8,22.7,25.5
1,55,11.9,13.5,15.4,17.5,20.0,22.9,25.8
1,56,12.0,13.6,15.5,17.7,20.2,23.2,26.1
1,57,12.1,13.7,15.6,17.8,20.4,23.4,26.4
