is_laki,month,minus_3_sd,minus_2_sd,minus_1_sd,median,plus_1_sd,plus_2_sd,plus_3_sd
1,0,30.7,31.9,33.2,34.5,35.7,37,38.3
1,1,33.8,34.9,36.1,37.3,38.4,39.6,40.8
1,2,35.6,36.8,38,39.1,40.3,41.5,42.6
1,3,37,38.1,39.3,40.5,41.7,42.9,44.1
1,4,38,39.2,40.4,41.6,42.8,44,45.2
1,5,38.9,40.1,41.4,42.6,43.8,45,46.2
1,6,39.7,40.9,42.1,43.3,44.6,45.8,47
1,7,40.3,41.5,42.7,44,45.2,46.4,47.7
1,8,40.8,42,43.3,44.5,45.8,47,48.3
1,9,41.2,42.5,43.7,45,46.3,47.5,48.8
1,10,41.6,42.9,44.1,45.4,46.7,47.9,49.2
1,11,41.9,43.2,44.5,45.8,47,48.3,49.6
1,12,42.2,43.5,44.8,46.1,47.4,48.6,49.9
1,13,42.5,43.8,45,46.3,47.6,48.9,50.2
1,14,42.7,44,45.3,46.6,47.9,49.2,50.5
1,15,42.9,44.2,45.5,46.8,48.1,49.4,50.7
1,16,43.1,44.4,45.7,47,48.3,49.6,51
1,17,43.2,44.6,45.9,47.2,48.5,49.8,51.2
1,18,43.4,44.7,46,47.4,48.7,50,51.4
1,19,43.5,44.9,46.2,47.5,48.9,50.2,51.5
1,20,43.7,45,46.4,47.7,49,50.4,51.7
1,21,43.8,45.2,46.5,47.8,49.2,50.5,51.9
1,22,43.9,45.3,46.6,48,49.3,50.7,52
1,23,44.1,45.4,46.8,48.1,49.5,50.8,52.2
1,24,44.2,45.5,46.9,48.3,49.6,51,52.3
1,25,44.3,45.6,47,48.4,49.7,51.1,52.5
1,26,44.4,45.8,47.1,48.5,49.9,51.2,52.6
1,27,44.5,45.9,47.2,48.6,50,51.4,52.7
1,28,44.6,46,47.3,48.7,50.1,51.5,52.9
1,29,44.7,46.1,47.4,48.8,50.2,51.6,53
1,30,44.8,46.1,47.5,48.9,50.3,51.7,53.1
1,31,44.8,46.2,47.6,49,50.4,51.8,53.2
1,32,44.9,46.3,47.7,49.1,50.5,51.9,53.3
1,33,45,46.4,47.8,49.2,50.6,52,53.4
1,34,45.1,46.5,47.9,49.3,50.7,52.1,53.5
1,35,45.1,46.6,48,49.4,50.8,52.2,53.6
1,36,45.2,46.6,48,49.5,50.9,52.3,53.7
1,37,45.3,46.7,48.1,49.5,51,52.4,53.8
1,38,45.3,46.8,48.2,49.6,51,52.5,53.9
1,39,45.4,46.8,48.2,49.7,51.1,52.5,54
1,40,45.4,46.9,48.3,49.7,51.2,52.6,54.1
1,41,45.5,46.9,48.4,49.8,51.3,52.7,54.1
1,42,45.5,47,48.4,49.9,51.3,52.8,54.2
1,43,45.6,47,48.5,49.9,51.4,52.8,54.3
1,44,45.6,47.1,48.5,50,51.4,52.9,54.3
1,45,45.7,47.1,48.6,50.1,51.5,53,54.4
1,46,45.7,47.2,48.7,50.1,51.6,53,54.5
1,47,45.8,47.2,48.7,50.2,51.6,53.1,54.5
1,48,45.8,47.3,48.7,50.2,51.7,53.1,54.6
1,49,45.9,47.3,48.8,50.3,51.7,53.2,54.7
1,50,45.9,47.4,48.8,50.3,51.8,53.2,54.7
1,51,45.9,47.4,48.9,50.4,51.8,53.3,54.8
1,52,46,47.5,48.9,50.4,51.9,53.4,54.8
1,53,46,47.5,49,50.4,51.9,53.4,54.9
1,54,46.1,47.5,49,50.5,52,53.5,54.9
1,55,46.1,47.6,49.1,50.5,52,53.5,55
1,56,46.1,47.6,49.1,50.6,52.1,53.5,55
1,57,46.2,47.6,49.1,50.6,52.1,53.6,55.1
1,58,46.2,47.7,49.2,50.7,52.1,53.6,55.1
1,59,46.2,47.7,49.2,50.7,52.2,53.7,55.2
1,60,46.3,47.7,49.2,50.7,52.2,53.7,55.2
0,0,30.3,31.5,32.7,33.9,35.1,36.2,37.4
0,1,33,34.2,35.4,36.5,37.7,38.9,40.1
0,2,34.6,35.8,37,38.3,39.5,40.7,41.9
0,3,35.8,37.1,38.3,39.5,40.8,42,43.3
0,4,36.8,38.1,39.3,40.6,41.8,43.1,44.4
0,5,37.6,38.9,40.2,41.5,42.7,44,45.3
0,6,38.3,39.6,40.9,42.2,43.5,44.8,46.1
0,7,38.9,40.2,41.5,42.8,44.1,45.5,46.8
0,8,39.4,40.7,42,43.4,44.7,46,47.4
0,9,39.8,41.2,42.5,43.8,45.2,46.5,47.8
0,10,40.2,41.5,42.9,44.2,45.6,46.9,48.3
0,11,40.5,41.9,43.2,44.6,45.9,47.3,48.6
0,12,40.8,42.2,43.5,44.9,46.3,47.6,49
0,13,41.1,42.4,43.8,45.2,46.5,47.9,49.3
0,14,41.3,42.7,44.1,45.4,46.8,48.2,49.5
0,15,41.5,42.9,44.3,45.7,47,48.4,49.8
0,16,41.7,43.1,44.5,45.9,47.2,48.6,50
0,17,41.9,43.3,44.7,46.1,47.4,48.8,50.2
0,18,42.1,43.5,44.9,46.2,47.6,49,50.4
0,19,42.3,43.6,45,46.4,47.8,49.2,50.6
0,20,42.4,43.8,45.2,46.6,48,49.4,50.7
0,21,42.6,44,45.3,46.7,48.1,49.5,50.9
0,22,42.7,44.1,45.5,46.9,48.3,49.7,51.1
0,23,42.9,44.3,45.6,47,48.4,49.8,51.2
0,24,43,44.4,45.8,47.2,48.6,50,51.4
0,25,43.1,44.5,45.9,47.3,48.7,50.1,51.5
0,26,43.3,44.7,46.1,47.5,48.9,50.3,51.7
0,27,43.4,44.8,46.2,47.6,49,50.4,51.8
0,28,43.5,44.9,46.3,47.7,49.1,50.5,51.9
0,29,43.6,45,46.4,47.8,49.2,50.6,52
0,30,43.7,45.1,46.5,47.9,49.3,50.7,52.2
0,31,43.8,45.2,46.6,48,49.4,50.9,52.3
0,32,43.9,45.3,46.7,48.1,49.6,51,52.4
0,33,44,45.4,46.8,48.2,49.7,51.1,52.5
0,34,44.1,45.5,46.9,48.3,49.7,51.2,52.6
0,35,44.2,45.6,47,48.4,49.8,51.2,52.7
0,36,44.3,45.7,47.1,48.5,49.9,51.3,52.7
0,37,44.4,45.8,47.2,48.6,50,51.4,52.8
0,38,44.4,45.8,47.3,48.7,50.1,51.5,52.9
0,39,44.5,45.9,47.3,48.7,50.2,51.6,53
0,40,44.6,46,47.4,48.8,50.2,51.7,53.1
0,41,44.6,46.1,47.5,48.9,50.3,51.7,53.1
