
week,length,weight,size,icon
1,-,-,-,-
2,-,-,-,-
3,-,-,-,-
4,-,-,Biji Opium,https://www.babycenter.com/ims/2019/04/4-weeks-fruit-fetus-size-01.svg
5,-,-,Biji Wijen,https://www.babycenter.com/ims/2019/04/5-weeks-fruit-fetus-size-01.svg
6,-,-,Miju-miju,https://www.babycenter.com/ims/2019/04/6-weeks-fruit-fetus-size-01.svg
7,-,-,Bluberry,https://www.babycenter.com/ims/2019/04/7-weeks-fruit-fetus-size-01.svg
8,0.75,0.003,Kacang Merah,https://www.babycenter.com/ims/2019/04/8-weeks-fruit-fetus-size-01.svg
9,1,0.004,Anggur,https://www.babycenter.com/ims/2019/04/9-weeks-fruit-fetus-size-01.svg
10,1.25,0.009,Kumquat,https://www.babycenter.com/ims/2019/04/10-weeks-fruit-fetus-size-01.svg
11,1.5,0.016,Ara,https://www.babycenter.com/ims/2019/04/11-weeks-fruit-fetus-size-01.svg
12,2.25,0.031,Jeruk Nipis,https://www.babycenter.com/ims/2019/04/12-weeks-fruit-fetus-size-01.svg
13,3,0.047,Kacang Polong,https://www.babycenter.com/ims/2019/04/13-weeks-fruit-fetus-size-01.svg
14,3.5,0.094,Lemon,https://www.babycenter.com/ims/2019/04/14-weeks-fruit-fetus-size-01.svg
15,4,0.156,Apel,https://www.babycenter.com/ims/2019/04/15-weeks-fruit-fetus-size-01.svg
16,4.5,0.219,Alpukat,https://www.babycenter.com/ims/2019/04/16-weeks-fruit-fetus-size-01.svg
17,5,0.313,Lobak,https://www.babycenter.com/ims/2019/04/17-weeks-fruit-fetus-size-01.svg
18,5.5,0.422,Paprika,https://www.babycenter.com/ims/2019/04/18-weeks-fruit-fetus-size-01.svg
19,6,0.531,Tomat Pusaka,https://www.babycenter.com/ims/2019/04/19-weeks-fruit-fetus-size-01.svg
20,10,0.656,Pisang,https://www.babycenter.com/ims/2019/04/20-weeks-fruit-fetus-size-01.svg
21,10.5,0.797,Wortel,https://www.babycenter.com/ims/2019/04/21-weeks-fruit-fetus-size-01.svg
22,11,0.938,Spaghetti Squash,https://www.babycenter.com/ims/2019/04/22-weeks-fruit-fetus-size-01.svg
23,11.5,1,Mangga Besar,https://www.babycenter.com/ims/2019/04/23-weeks-fruit-fetus-size-01.svg
24,11.75,1.25,Jagung,https://www.babycenter.com/ims/2019/04/24-weeks-fruit-fetus-size-01.svg
25,13.5,1.5,Ratubaga,https://www.babycenter.com/ims/2019/04/25-weeks-fruit-fetus-size-01.svg
26,14,1.75,Daun Bawang,https://www.babycenter.com/ims/2019/04/26-weeks-fruit-fetus-size-01.svg
27,14.5,2,Kepala Kembang Kol,https://www.babycenter.com/ims/2019/04/27-weeks-fruit-fetus-size-01.svg
28,13.75,2.25,Terong,https://www.babycenter.com/ims/2019/04/28-weeks-fruit-fetus-size-01.svg
29,15,2.25,Labu Butternut,https://www.babycenter.com/ims/2019/04/29-weeks-fruit-fetus-size-01.svg
30,15.75,3,Kubis Besar,https://www.babycenter.com/ims/2019/04/30-weeks-fruit-fetus-size-01.svg
31,16.25,3.25,Kelapa,https://www.babycenter.com/ims/2019/04/31-weeks-fruit-fetus-size-01.svg
32,16.75,3.75,Bengkuang,https://www.babycenter.com/ims/2019/04/32-weeks-fruit-fetus-size-01.svg
33,17.25,4.33,Nanas,https://www.babycenter.com/ims/2019/04/33-weeks-fruit-fetus-size-01.svg
34,17.75,4.75,Blewah,https://www.babycenter.com/ims/2019/04/34-weeks-fruit-fetus-size-01.svg
35,18.25,5.25,Melon,https://www.babycenter.com/ims/2019/04/35-weeks-fruit-fetus-size-01.svg
36,18.75,5.75,Kepala Selada Romaine,https://www.babycenter.com/ims/2019/04/36-weeks-fruit-fetus-size-01.svg
37,19.25,6.25,Sekelompok Swiss Chard,https://www.babycenter.com/ims/2019/04/37-weeks-fruit-fetus-size-01.svg
38,19.5,6.75,Bawang Perai,https://www.babycenter.com/ims/2019/04/38-weeks-fruit-fetus-size-01.svg
39,20,7.25,Semangka Mini,https://www.babycenter.com/ims/2019/04/39-weeks-fruit-fetus-size-01.svg
40,20.25,7.75,Labu Kecil,https://www.babycenter.com/ims/2019/04/40-weeks-fruit-fetus-size-01.svg
