no,question,img,month_start,month_until
1,"Pada waktu bayi telentang, apakah masing-masing lengan dan tungkai bergerak dengan mudah? * 
Jawab TIDAK bila salah satu atau kedua tungkai atau lengan bayi bergerak tak terarah/tak terkendali",,3,5
2,Pada waktu bayi telentang apakah ia melihat dan menatap wajah anda? * ,,3,5
3,"Apakah bayi dapat mengeluarkan suara-suara lain (ngoceh), disamping menangis? * ",,3,5
4,"Pada waktu bayi telentang, apakah ia dapat mengikuti gerakan anda dengan menggerakkan kepalanya dari kanan/kiri ke tengah? * ",/res/img/questions/img-1.png,3,5
5,"Pada waktu bayi telentang, apakah ia dapat mengikuti gerakan anda dengan menggerakkan kepalanya dari satu sisi hampir sampai pada sisi yang lain? *",/res/img/questions/img-2.png,3,5
6,"Pada waktu anda mengajak bayi berbicara dan tersenyum, apakah ia tersenyum kembali kepada anda? *",,3,5
7,"Pada waktu bayi telungkup di alas yang datar, apakah ia dapat mengangkat kepalanya seperti pada gambar ini? *",/res/img/questions/img-3.png,3,5
8,"Pada waktu bayi telungkup di alas yang datar, apakah ia dapat mengangkat kepalanya sehingga membentuk sudut 45° seperti pada gambar ? *",/res/img/questions/img-4.png,3,5
9,"Pada waktu bayi telungkup di alas yang datar, apakah ia dapat mengangkat kepalanya dengan tegak seperti pada gambar? *",/res/img/questions/img-5.png,3,5
10,Apakah bayi suka tertawa keras walau tidak digelitik atau diraba-raba? * ,,3,5
1,"Pada waktu bayi telentang, apakah ia dapat mengikuti gerakan anda dengan menggerakkan kepalanya dari satu sisi hampir sampai pada sisi yang lain? ",/res/img/questions/img-6.png,6,8
2,Dapatkah bayi mempertahankan posisi kepala dalam keadaan tegak dan stabil? ,,6,8
3,Jawab TIDAK bila kepala bayi cenderung jatuh ke kanan/kiri atau ke dadanya ,,6,8
4,"Sentuhkan pensil di punggung tangan atau ujung jari bayi. Apakah bayi dapat menggenggam pensil itu selama beberapa detik? 
Jangan meletakkan di atas telapak tangan bayi ",/res/img/questions/img-7.png,6,8
5,"Ketika bayi telungkup di alas datar, apakah ia dapat mengangkat dada dengan kedua lengannya sebagai penyangga seperti pada gambar ? ",/res/img/questions/img-8.png,6,8
6,Pernahkah bayi mengeluarkan suara gembira bernada tinggi atau memekik tetapi bukan menangis? ,,6,8
7,"Pernahkah bayi berbalik paling sedikit dua kali, dari telentang ke telungkup atau sebaliknya? ",,6,8
8,"Pernahkah anda melihat bayi tersenyurn ketika melihat mainan yang lucu, gambar atau binatang peliharaan pada saat ia bermain sendiri? ",,6,8
9,"Dapatkah bayi mengarahkan matanya pada benda kecil sebesar kacang, kismis atau uang logam? 
Jawab TIDAK jika ia tidak dapat mengarahkan matanya. PERHATIKAN : untuk tidak meninggal objek yang digunakan terjangkau oleh bayi. ",,6,8
10,Dapatkah bayi meraih mainan yang diletakkan agak jauh namun masih berada dalam jangkauan tangannya? ,,6,8
11,"Pada posisi bayi telentang, pegang kedua tangannya lalu tarik perlahan-lahan ke posisi duduk. Dapatkah bayi mempertahankan lehernya secara kaku seperti gambar? ",/res/img/questions/img-9.png,6,8
1,"Pada posisi bayi telentang, pegang kedua tangannya lalu tarik perlahan-lahan ke posisi clucluk. Dapatkah bayi mempertahankan lehernya secara kaku seperti gambar di sebelah kiri ? Jawab TIDAK bila kepala bayi jatuh kembali seperti gambar sebelah kanan. ",/res/img/questions/img-10.png,9,11
2,Pernahkah anda melihat bayi memindahkan mainan atau kue kering dari satu tangan ke tangan yang lain? Benda?benda panjang seperti sendok atau kerincingan bertangkai tidak ikut dinilai. ,,9,11
3,"Tarik perhatian bayi dengan memperlihatkan selendang, sapu tangan atau serbet, kemudian jatuhkan ke lantai. Apakah bayi mencoba mencarinya? Misalnya mencari di bawah meja atau di belakang kursi? ",,9,11
4,"Apakah bayi dapat memungut dua benda seperti mainan/kue kering, dan masing-masing tangan memegang satu benda pada saat yang sama? Jawab TIDAK bila bayi tidak pernah melakukan perbuatan ini. ",,9,11
5,"Jika anda mengangkat bayi melalui ketiaknya ke posisi berdiri, dapatkah ia menyangga sebagian berat badan dengan kedua kakinya? Jawab YA bila ia mencoba berdiri dan sebagian berat badan tertumpu pada kedua kakinya. ",,9,11
6,"Dapatkah bayi memungut dengan tangannya benda-benda kecil seperti kismis, kacang?kacangan, potongan biskuit, dengan gerakan miring atau menggerapai seperti gambar ? ",/res/img/questions/img-11.png,9,11
7,"Tanpa disangga oleh bantal, kursi atau dinding, dapatkah bayi duduk sendiri selama 60 detik? ",/res/img/questions/img-12.png,9,11
8,Apakah bayi dapat makan kue kering sendiri? ,,9,11
9,"Pada waktu bayi bermain sendiri dan anda diam-diam datang berdiri di belakangnya, apakah ia menengok ke belakang seperti mendengar kedatangan anda? Suara keras tidak ikut dihitung. Jawab YA hanya jika anda melihat reaksinya terhadap suara yang perlahan atau bisikan. ",,9,11
10,"Letakkan suatu mainan yang dinginkannya di luar jangkauan bayi, apakah ia mencoba mendapatkannya dengan mengulurkan lengan atau badannya? ",,9,11
1,"Tanpa bantuan, apakah anak dapat mempertemukan dua kubus kecil yang ia pegang? Kerincingan bertangkai dan tutup, panci tidak ikut dinilai ",,12,14
